time[sec],omega_t_b(X)[rad/s],omega_t_b(Y)[rad/s],omega_t_b(Z)[rad/s],q_t_i2b(0)[-],q_t_i2b(1)[-],q_t_i2b(2)[-],q_t_i2b(3)[-],torque_t_b(X)[Nm],torque_t_b(Y)[Nm],torque_t_b(Z)[Nm],h_total[Nms],sat_position_i(X)[m],sat_position_i(Y)[m],sat_position_i(Z)[m],sat_velocity_i(X)[m/s],sat_velocity_i(Y)[m/s],sat_velocity_i(Z)[m/s],sat_velocity_b(X)[m/s],sat_velocity_b(Y)[m/s],sat_velocity_b(Z)[m/s],lat[rad],lon[rad],alt[m],EARTH_pos_i(X)[m],EARTH_pos_i(Y)[m],EARTH_pos_i(Z)[m],EARTH_vel_i(X)[m/s],EARTH_vel_i(Y)[m/s],EARTH_vel_i(Z)[m/s],EARTH_pos_b(X)[m],EARTH_pos_b(Y)[m],EARTH_pos_b(Z)[m],EARTH_vel_b(X)[m/s],EARTH_vel_b(Y)[m/s],EARTH_vel_b(Z)[m/s],SUN_pos_i(X)[m],SUN_pos_i(Y)[m],SUN_pos_i(Z)[m],SUN_vel_i(X)[m/s],SUN_vel_i(Y)[m/s],SUN_vel_i(Z)[m/s],SUN_pos_b(X)[m],SUN_pos_b(Y)[m],SUN_pos_b(Z)[m],SUN_vel_b(X)[m/s],SUN_vel_b(Y)[m/s],SUN_vel_b(Z)[m/s],gyro_omega1_c(X)[rad/s],gyro_omega1_c(Y)[rad/s],gyro_omega1_c(Z)[rad/s],
103.5,0.000195226,-0.000562879,0.000193869,0.00507901,-0.0145626,0.00498749,0.999869,1.84176e-07,-5.44035e-07,1.91302e-07,6.26523e-05,595162,-1.12526e+06,7.11748e+06,-7377.08,450.445,686.762,-7349.12,531.943,896.252,1.39484,1.08117,873009,-595162,1.12526e+06,-7.11748e+06,7377.08,-450.445,-686.762,-791455,1.05991e+06,-7.10839e+06,7349.12,-531.943,-896.252,-5.2376e+10,-1.26515e+11,-5.48523e+10,35700.5,-10044.8,-4846.19,-5.51944e+10,-1.26521e+11,-5.20003e+10,35443.5,-10453.6,-5778.24,0.000288076,-0.00264146,0.00472444,
104,0.000196147,-0.0005656,0.000194825,0.00512792,-0.0147036,0.00503607,0.999866,1.84104e-07,-5.44038e-07,1.91351e-07,6.2955e-05,591473,-1.12504e+06,7.11783e+06,-7377.39,451.035,683.018,-7349.23,533.3,894.534,1.39511,1.07865,873010,-591473,1.12504e+06,-7.11783e+06,7377.39,-451.035,-683.018,-789683,1.05903e+06,-7.10872e+06,7349.23,-533.3,-894.534,-5.2376e+10,-1.26515e+11,-5.48523e+10,35700.8,-10045.4,-4842.45,-5.52214e+10,-1.26521e+11,-5.19723e+10,35441.3,-10458.2,-5783.48,0.000243617,-0.00338296,0.00284828,
104.5,0.000197067,-0.00056832,0.000195782,0.00517706,-0.0148454,0.00508488,0.999863,1.84031e-07,-5.4404e-07,1.91401e-07,6.32577e-05,587784,-1.12481e+06,7.11817e+06,-7377.7,451.626,679.274,-7349.34,534.661,892.825,1.39537,1.07612,873011,-587784,1.12481e+06,-7.11817e+06,7377.7,-451.626,-679.274,-787920,1.05814e+06,-7.10904e+06,7349.34,-534.661,-892.825,-5.2376e+10,-1.26515e+11,-5.48523e+10,35701.1,-10046,-4838.7,-5.52485e+10,-1.2652e+11,-5.19442e+10,35439,-10462.8,-5788.76,0.00177652,-0.00120825,0.00308839,
105,0.000197987,-0.00057104,0.000196739,0.00522643,-0.0149878,0.00513394,0.999861,1.83957e-07,-5.44043e-07,1.91451e-07,6.35604e-05,584096,-1.12458e+06,7.1185e+06,-7378.01,452.216,675.53,-7349.45,536.025,891.126,1.39564,1.07359,873013,-584096,1.12458e+06,-7.1185e+06,7378.01,-452.216,-675.53,-786166,1.05725e+06,-7.10937e+06,7349.45,-536.025,-891.126,-5.2376e+10,-1.26515e+11,-5.48523e+10,35701.4,-10046.5,-4834.96,-5.52756e+10,-1.2652e+11,-5.1916e+10,35436.8,-10467.4,-5794.08,0.00083777,-0.00241772,0.00212904,
105.5,0.000198907,-0.00057376,0.000197697,0.00527603,-0.0151308,0.00518323,0.999858,1.83883e-07,-5.44045e-07,1.91501e-07,6.3863e-05,580406,-1.12436e+06,7.11884e+06,-7378.31,452.806,671.785,-7349.55,537.393,889.436,1.39591,1.07105,873014,-580406,1.12436e+06,-7.11884e+06,7378.31,-452.806,-671.785,-784422,1.05635e+06,-7.10969e+06,7349.55,-537.393,-889.436,-5.23759e+10,-1.26515e+11,-5.48523e+10,35701.7,-10047.1,-4831.21,-5.5303e+10,-1.2652e+11,-5.18876e+10,35434.5,-10472,-5799.44,0.0024749,-0.000697066,0.000562059,
106,0.000199826,-0.00057648,0.000198654,0.00532587,-0.0152746,0.00523276,0.999855,1.83808e-07,-5.44048e-07,1.91551e-07,6.41657e-05,576717,-1.12413e+06,7.11918e+06,-7378.61,453.396,668.04,-7349.65,538.763,887.756,1.39617,1.0685,873015,-576717,1.12413e+06,-7.11918e+06,7378.61,-453.396,-668.04,-782687,1.05545e+06,-7.11002e+06,7349.65,-538.763,-887.756,-5.23759e+10,-1.26515e+11,-5.48523e+10,35702,-10047.7,-4827.46,-5.53304e+10,-1.26519e+11,-5.18591e+10,35432.2,-10476.6,-5804.84,0.00171574,6.30883e-05,0.000867234,
106.5,0.000200745,-0.000579201,0.000199612,0.00537592,-0.0154191,0.00528254,0.999853,1.83733e-07,-5.4405e-07,1.916e-07,6.44684e-05,573028,-1.1239e+06,7.11951e+06,-7378.92,453.985,664.295,-7349.75,540.138,886.086,1.39643,1.06594,873017,-573028,1.1239e+06,-7.11951e+06,7378.92,-453.985,-664.295,-780962,1.05455e+06,-7.11034e+06,7349.75,-540.138,-886.086,-5.23759e+10,-1.26515e+11,-5.48523e+10,35702.3,-10048.3,-4823.72,-5.53579e+10,-1.26519e+11,-5.18304e+10,35429.9,-10481.3,-5810.29,0.00149832,-0.00161752,0.00170057,
107,0.000201664,-0.000581921,0.00020057,0.00542621,-0.0155642,0.00533255,0.99985,1.83657e-07,-5.44052e-07,1.9165e-07,6.4771e-05,569339,-1.12368e+06,7.11984e+06,-7379.22,454.575,660.55,-7349.85,541.515,884.425,1.39669,1.06338,873018,-569339,1.12368e+06,-7.11984e+06,7379.22,-454.575,-660.55,-779245,1.05364e+06,-7.11066e+06,7349.85,-541.515,-884.425,-5.23759e+10,-1.26515e+11,-5.48523e+10,35702.6,-10048.9,-4819.97,-5.53856e+10,-1.26519e+11,-5.18016e+10,35427.5,-10486,-5815.78,-0.000709829,-0.00229083,0.000976567,
107.5,0.000202582,-0.000584641,0.000201529,0.00547673,-0.01571,0.0053828,0.999847,1.8358e-07,-5.44055e-07,1.917e-07,6.50737e-05,565649,-1.12345e+06,7.12017e+06,-7379.51,455.165,656.805,-7349.95,542.896,882.773,1.39695,1.06081,873019,-565649,1.12345e+06,-7.12017e+06,7379.51,-455.165,-656.805,-777538,1.05273e+06,-7.11099e+06,7349.95,-542.896,-882.773,-5.23759e+10,-1.26515e+11,-5.48523e+10,35702.9,-10049.5,-4816.23,-5.54134e+10,-1.26519e+11,-5.17727e+10,35425.2,-10490.7,-5821.31,0.00209759,-0.00171841,0.000719369,
108,0.000203499,-0.000587361,0.000202487,0.00552748,-0.0158565,0.00543329,0.999844,1.83503e-07,-5.44057e-07,1.9175e-07,6.53763e-05,561959,-1.12322e+06,7.1205e+06,-7379.81,455.754,653.059,-7350.04,544.279,881.13,1.39721,1.05823,873021,-561959,1.12322e+06,-7.1205e+06,7379.81,-455.754,-653.059,-775840,1.05181e+06,-7.11131e+06,7350.04,-544.279,-881.13,-5.23758e+10,-1.26515e+11,-5.48523e+10,35703.2,-10050.1,-4812.48,-5.54414e+10,-1.26518e+11,-5.17436e+10,35422.8,-10495.4,-5826.88,0.00142285,-0.00131261,0.000615935,
108.5,0.000204417,-0.000590082,0.000203446,0.00557846,-0.0160036,0.00548401,0.999841,1.83426e-07,-5.4406e-07,1.918e-07,6.5679e-05,558269,-1.12299e+06,7.12082e+06,-7380.1,456.343,649.314,-7350.14,545.667,879.498,1.39747,1.05564,873022,-558269,1.12299e+06,-7.12082e+06,7380.1,-456.343,-649.314,-774152,1.05089e+06,-7.11163e+06,7350.14,-545.667,-879.498,-5.23758e+10,-1.26515e+11,-5.48523e+10,35703.5,-10050.7,-4808.73,-5.54694e+10,-1.26518e+11,-5.17144e+10,35420.5,-10500.1,-5832.49,0.0011434,-0.00163283,0.0034672,
109,0.000205334,-0.000592802,0.000204405,0.00562966,-0.0161515,0.00553498,0.999838,1.83348e-07,-5.44062e-07,1.9185e-07,6.59816e-05,554579,-1.12277e+06,7.12115e+06,-7380.39,456.932,645.568,-7350.23,547.057,877.874,1.39773,1.05305,873023,-554579,1.12277e+06,-7.12115e+06,7380.39,-456.932,-645.568,-772473,1.04997e+06,-7.11194e+06,7350.23,-547.057,-877.874,-5.23758e+10,-1.26515e+11,-5.48523e+10,35703.8,-10051.2,-4804.98,-5.54976e+10,-1.26517e+11,-5.1685e+10,35418.1,-10504.9,-5838.15,0.000830203,0.000511078,0.00161425,
109.5,0.00020625,-0.000595522,0.000205365,0.0056811,-0.0163,0.00558619,0.999835,1.83269e-07,-5.44065e-07,1.919e-07,6.62843e-05,550889,-1.12254e+06,7.12147e+06,-7380.68,457.521,641.822,-7350.32,548.451,876.261,1.39799,1.05045,873024,-550889,1.12254e+06,-7.12147e+06,7380.68,-457.521,-641.822,-770803,1.04904e+06,-7.11226e+06,7350.32,-548.451,-876.261,-5.23758e+10,-1.26515e+11,-5.48523e+10,35704.1,-10051.8,-4801.24,-5.55259e+10,-1.26517e+11,-5.16555e+10,35415.7,-10509.7,-5843.85,-0.00075377,-0.00185392,0.0020223,
110,0.000207167,-0.000598243,0.000206324,0.00573276,-0.0164492,0.00563764,0.999832,1.8319e-07,-5.44067e-07,1.9195e-07,6.65869e-05,547198,-1.12231e+06,7.12179e+06,-7380.97,458.11,638.076,-7350.4,549.848,874.656,1.39824,1.04784,873026,-547198,1.12231e+06,-7.12179e+06,7380.97,-458.11,-638.076,-769143,1.04811e+06,-7.11258e+06,7350.4,-549.848,-874.656,-5.23758e+10,-1.26515e+11,-5.48523e+10,35704.4,-10052.4,-4797.49,-5.55543e+10,-1.26517e+11,-5.16259e+10,35413.3,-10514.5,-5849.59,0.000544001,-0.00274793,0.00311091,
110.5,0.000208082,-0.000600963,0.000207284,0.00578465,-0.0165991,0.00568932,0.999829,1.8311e-07,-5.4407e-07,1.92e-07,6.68896e-05,543508,-1.12208e+06,7.12211e+06,-7381.26,458.699,634.33,-7350.49,551.248,873.061,1.3985,1.04522,873027,-543508,1.12208e+06,-7.12211e+06,7381.26,-458.699,-634.33,-767492,1.04718e+06,-7.11289e+06,7350.49,-551.248,-873.061,-5.23758e+10,-1.26515e+11,-5.48524e+10,35704.7,-10053,-4793.74,-5.55828e+10,-1.26516e+11,-5.15961e+10,35410.8,-10519.3,-5855.37,0.0017128,-0.00233928,0.0024487,
111,0.000208998,-0.000603683,0.000208244,0.00583677,-0.0167496,0.00574125,0.999826,1.8303e-07,-5.44072e-07,1.9205e-07,6.71922e-05,539817,-1.12185e+06,7.12242e+06,-7381.54,459.288,630.583,-7350.57,552.652,871.476,1.39875,1.0426,873028,-539817,1.12185e+06,-7.12242e+06,7381.54,-459.288,-630.583,-765850,1.04624e+06,-7.11321e+06,7350.57,-552.652,-871.476,-5.23757e+10,-1.26515e+11,-5.48524e+10,35705,-10053.6,-4790,-5.56115e+10,-1.26516e+11,-5.15662e+10,35408.4,-10524.1,-5861.2,0.000851557,-0.00247964,0.00161697,
111.5,0.000209913,-0.000606404,0.000209204,0.00588912,-0.0169009,0.00579342,0.999823,1.82949e-07,-5.44075e-07,1.921e-07,6.74948e-05,536126,-1.12162e+06,7.12274e+06,-7381.83,459.876,626.836,-7350.65,554.059,869.9,1.399,1.03997,873029,-536126,1.12162e+06,-7.12274e+06,7381.83,-459.876,-626.836,-764217,1.0453e+06,-7.11352e+06,7350.65,-554.059,-869.9,-5.23757e+10,-1.26515e+11,-5.48524e+10,35705.2,-10054.2,-4786.25,-5.56403e+10,-1.26516e+11,-5.15361e+10,35405.9,-10529,-5867.06,0.000966637,-0.00151792,0.00223998,
112,0.000210827,-0.000609124,0.000210165,0.0059417,-0.0170528,0.00584582,0.99982,1.82867e-07,-5.44077e-07,1.9215e-07,6.77975e-05,532435,-1.12139e+06,7.12305e+06,-7382.11,460.465,623.09,-7350.73,555.469,868.333,1.39925,1.03733,873031,-532435,1.12139e+06,-7.12305e+06,7382.11,-460.465,-623.09,-762594,1.04435e+06,-7.11383e+06,7350.73,-555.469,-868.333,-5.23757e+10,-1.26515e+11,-5.48524e+10,35705.5,-10054.8,-4782.5,-5.56692e+10,-1.26515e+11,-5.15059e+10,35403.4,-10533.8,-5872.97,0.00102025,-0.00122527,0.00183489,
112.5,0.000211741,-0.000611845,0.000211126,0.0059945,-0.0172054,0.00589847,0.999817,1.82785e-07,-5.4408e-07,1.922e-07,6.81001e-05,528744,-1.12116e+06,7.12336e+06,-7382.38,461.053,619.343,-7350.81,556.883,866.776,1.3995,1.03468,873032,-528744,1.12116e+06,-7.12336e+06,7382.38,-461.053,-619.343,-760980,1.0434e+06,-7.11414e+06,7350.81,-556.883,-866.776,-5.23757e+10,-1.26515e+11,-5.48524e+10,35705.8,-10055.3,-4778.75,-5.56982e+10,-1.26515e+11,-5.14755e+10,35400.9,-10538.7,-5878.92,0.00228578,-0.00263423,0.00133087,
113,0.000212655,-0.000614565,0.000212087,0.00604754,-0.0173586,0.00595135,0.999813,1.82702e-07,-5.44082e-07,1.9225e-07,6.84027e-05,525053,-1.12093e+06,7.12367e+06,-7382.66,461.641,615.596,-7350.88,558.299,865.228,1.39975,1.03203,873033,-525053,1.12093e+06,-7.12367e+06,7382.66,-461.641,-615.596,-759376,1.04245e+06,-7.11445e+06,7350.88,-558.299,-865.228,-5.23757e+10,-1.26515e+11,-5.48524e+10,35706.1,-10055.9,-4775,-5.57273e+10,-1.26514e+11,-5.1445e+10,35398.4,-10543.7,-5884.91,0.000421407,-0.00136295,0.00246498,
113.5,0.000213569,-0.000617285,0.000213048,0.0061008,-0.0175126,0.00600448,0.99981,1.82619e-07,-5.44085e-07,1.923e-07,6.87053e-05,521361,-1.1207e+06,7.12398e+06,-7382.94,462.23,611.848,-7350.95,559.719,863.69,1.4,1.02936,873034,-521361,1.1207e+06,-7.12398e+06,7382.94,-462.23,-611.848,-757781,1.04149e+06,-7.11476e+06,7350.95,-559.719,-863.69,-5.23756e+10,-1.26515e+11,-5.48524e+10,35706.4,-10056.5,-4771.25,-5.57566e+10,-1.26514e+11,-5.14144e+10,35395.9,-10548.6,-5890.94,0.00216896,-0.00198037,0.00297844,
114,0.000214482,-0.000620006,0.00021401,0.00615429,-0.0176672,0.00605784,0.999807,1.82535e-07,-5.44087e-07,1.9235e-07,6.9008e-05,517670,-1.12047e+06,7.12428e+06,-7383.21,462.817,608.101,-7351.02,561.143,862.162,1.40024,1.0267,873035,-517670,1.12047e+06,-7.12428e+06,7383.21,-462.817,-608.101,-756195,1.04053e+06,-7.11507e+06,7351.02,-561.143,-862.162,-5.23756e+10,-1.26515e+11,-5.48524e+10,35706.6,-10057.1,-4767.51,-5.5786e+10,-1.26513e+11,-5.13836e+10,35393.3,-10553.5,-5897.02,-0.000474597,-0.000357384,0.00239314,
114.5,0.000215394,-0.000622726,0.000214972,0.00620801,-0.0178226,0.00611145,0.999803,1.82451e-07,-5.4409e-07,1.924e-07,6.93106e-05,513978,-1.12023e+06,7.12458e+06,-7383.48,463.405,604.353,-7351.09,562.569,860.642,1.40049,1.02402,873037,-513978,1.12023e+06,-7.12458e+06,7383.48,-463.405,-604.353,-754618,1.03957e+06,-7.11538e+06,7351.09,-562.569,-860.642,-5.23756e+10,-1.26515e+11,-5.48524e+10,35706.9,-10057.7,-4763.76,-5.58155e+10,-1.26513e+11,-5.13526e+10,35390.7,-10558.5,-5903.14,3.26584e-05,-0.00179938,0.00108291,
115,0.000216306,-0.000625447,0.000215934,0.00626195,-0.0179785,0.0061653,0.9998,1.82365e-07,-5.44092e-07,1.9245e-07,6.96132e-05,510286,-1.12e+06,7.12489e+06,-7383.75,463.993,600.605,-7351.16,563.999,859.132,1.40073,1.02133,873038,-510286,1.12e+06,-7.12489e+06,7383.75,-463.993,-600.605,-753051,1.0386e+06,-7.11569e+06,7351.16,-563.999,-859.132,-5.23756e+10,-1.26515e+11,-5.48524e+10,35707.2,-10058.3,-4760.01,-5.58451e+10,-1.26512e+11,-5.13216e+10,35388.2,-10563.5,-5909.3,0.000245753,-0.00175603,0.00379245,
115.5,0.000217218,-0.000628167,0.000216896,0.00631613,-0.0181352,0.00621938,0.999796,1.8228e-07,-5.44095e-07,1.925e-07,6.99158e-05,506594,-1.11977e+06,7.12518e+06,-7384.01,464.581,596.858,-7351.22,565.432,857.632,1.40097,1.01864,873039,-506594,1.11977e+06,-7.12518e+06,7384.01,-464.581,-596.858,-751493,1.03763e+06,-7.11599e+06,7351.22,-565.432,-857.632,-5.23756e+10,-1.26515e+11,-5.48524e+10,35707.4,-10058.9,-4756.26,-5.58749e+10,-1.26512e+11,-5.12904e+10,35385.6,-10568.5,-5915.5,0.000851352,-0.00105739,0.0037039,
116,0.000218129,-0.000630888,0.000217859,0.00637053,-0.0182926,0.00627371,0.999793,1.82193e-07,-5.44097e-07,1.9255e-07,7.02184e-05,502902,-1.11954e+06,7.12548e+06,-7384.28,465.168,593.109,-7351.29,566.868,856.141,1.40121,1.01594,873040,-502902,1.11954e+06,-7.12548e+06,7384.28,-465.168,-593.109,-749945,1.03665e+06,-7.1163e+06,7351.29,-566.868,-856.141,-5.23756e+10,-1.26515e+11,-5.48524e+10,35707.7,-10059.4,-4752.51,-5.59048e+10,-1.26512e+11,-5.1259e+10,35382.9,-10573.6,-5921.74,-0.00102383,-0.0013987,0.00424032,
116.5,0.00021904,-0.000633608,0.000218822,0.00642515,-0.0184506,0.00632827,0.999789,1.82106e-07,-5.441e-07,1.926e-07,7.0521e-05,499210,-1.11931e+06,7.12578e+06,-7384.54,465.755,589.361,-7351.35,568.308,854.66,1.40145,1.01324,873041,-499210,1.11931e+06,-7.12578e+06,7384.54,-465.755,-589.361,-748406,1.03567e+06,-7.1166e+06,7351.35,-568.308,-854.66,-5.23755e+10,-1.26515e+11,-5.48524e+10,35708,-10060,-4748.76,-5.59347e+10,-1.26511e+11,-5.12275e+10,35380.3,-10578.6,-5928.03,0.00184687,0.000544947,0.00148675,
117,0.00021995,-0.000636329,0.000219785,0.00648001,-0.0186093,0.00638308,0.999785,1.82019e-07,-5.44103e-07,1.9265e-07,7.08236e-05,495517,-1.11907e+06,7.12607e+06,-7384.8,466.343,585.613,-7351.41,569.751,853.187,1.40169,1.01052,873042,-495517,1.11907e+06,-7.12607e+06,7384.8,-466.343,-585.613,-746876,1.03469e+06,-7.11691e+06,7351.41,-569.751,-853.187,-5.23755e+10,-1.26515e+11,-5.48524e+10,35708.2,-10060.6,-4745.01,-5.59649e+10,-1.26511e+11,-5.11959e+10,35377.7,-10583.7,-5934.35,0.00272365,0.000231627,0.00325146,
117.5,0.00022086,-0.000639049,0.000220748,0.00653509,-0.0187687,0.00643813,0.999782,1.81931e-07,-5.44105e-07,1.92699e-07,7.11261e-05,491825,-1.11884e+06,7.12636e+06,-7385.06,466.93,581.865,-7351.46,571.197,851.725,1.40193,1.0078,873044,-491825,1.11884e+06,-7.12636e+06,7385.06,-466.93,-581.865,-745356,1.0337e+06,-7.11721e+06,7351.46,-571.197,-851.725,-5.23755e+10,-1.26515e+11,-5.48524e+10,35708.5,-10061.2,-4741.26,-5.59951e+10,-1.2651e+11,-5.11641e+10,35375,-10588.8,-5940.72,0.000827286,-0.00247485,0.00134665,
118,0.00022177,-0.00064177,0.000221712,0.0065904,-0.0189288,0.00649342,0.999778,1.81842e-07,-5.44108e-07,1.92749e-07,7.14287e-05,488132,-1.11861e+06,7.12665e+06,-7385.32,467.517,578.116,-7351.52,572.646,850.272,1.40217,1.00507,873045,-488132,1.11861e+06,-7.12665e+06,7385.32,-467.517,-578.116,-743845,1.03271e+06,-7.11751e+06,7351.52,-572.646,-850.272,-5.23755e+10,-1.26515e+11,-5.48524e+10,35708.8,-10061.8,-4737.51,-5.60255e+10,-1.26509e+11,-5.11321e+10,35372.3,-10593.9,-5947.13,0.000532152,-0.000834578,0.00195318,
118.5,0.000222679,-0.00064449,0.000222676,0.00664594,-0.0190895,0.00654894,0.999774,1.81753e-07,-5.4411e-07,1.92799e-07,7.17313e-05,484440,-1.11837e+06,7.12694e+06,-7385.57,468.104,574.367,-7351.57,574.099,848.828,1.4024,1.00234,873046,-484440,1.11837e+06,-7.12694e+06,7385.57,-468.104,-574.367,-742343,1.03172e+06,-7.11781e+06,7351.57,-574.099,-848.828,-5.23755e+10,-1.26515e+11,-5.48524e+10,35709,-10062.4,-4733.76,-5.60559e+10,-1.26509e+11,-5.11001e+10,35369.6,-10599,-5953.58,0.000348831,-0.00247291,0.00327877,
119,0.000223587,-0.000647211,0.00022364,0.0067017,-0.019251,0.00660471,0.99977,1.81663e-07,-5.44113e-07,1.92848e-07,7.20339e-05,480747,-1.11814e+06,7.12723e+06,-7385.83,468.69,570.618,-7351.62,575.555,847.394,1.40264,0.999591,873047,-480747,1.11814e+06,-7.12723e+06,7385.83,-468.69,-570.618,-740851,1.03072e+06,-7.11811e+06,7351.62,-575.555,-847.394,-5.23755e+10,-1.26515e+11,-5.48524e+10,35709.3,-10062.9,-4730.01,-5.60865e+10,-1.26508e+11,-5.10678e+10,35366.9,-10604.2,-5960.08,0.00137228,-0.00189718,0.00250877,
119.5,0.000224495,-0.000649931,0.000224604,0.00675769,-0.0194131,0.00666072,0.999767,1.81572e-07,-5.44115e-07,1.92898e-07,7.23364e-05,477054,-1.1179e+06,7.12751e+06,-7386.08,469.277,566.869,-7351.67,577.014,845.969,1.40287,0.996839,873048,-477054,1.1179e+06,-7.12751e+06,7386.08,-469.277,-566.869,-739368,1.02971e+06,-7.11841e+06,7351.67,-577.014,-845.969,-5.23754e+10,-1.26515e+11,-5.48524e+10,35709.5,-10063.5,-4726.26,-5.61172e+10,-1.26508e+11,-5.10355e+10,35364.2,-10609.3,-5966.61,-0.000116472,-0.00346912,0.00248967,
120,0.000225403,-0.000652652,0.000225569,0.00681391,-0.0195759,0.00671697,0.999763,1.81481e-07,-5.44118e-07,1.92947e-07,7.2639e-05,473361,-1.11767e+06,7.12779e+06,-7386.33,469.863,563.12,-7351.72,578.476,844.553,1.4031,0.99408,873049,-473361,1.11767e+06,-7.12779e+06,7386.33,-469.863,-563.12,-737894,1.02871e+06,-7.11871e+06,7351.72,-578.476,-844.553,-5.23754e+10,-1.26515e+11,-5.48524e+10,35709.8,-10064.1,-4722.51,-5.61481e+10,-1.26507e+11,-5.1003e+10,35361.4,-10614.5,-5973.19,0.00219579,-0.00241315,0.00243042,
120.5,0.00022631,-0.000655373,0.000226533,0.00687035,-0.0197393,0.00677346,0.999759,1.81389e-07,-5.4412e-07,1.92997e-07,7.29415e-05,469668,-1.11743e+06,7.12808e+06,-7386.58,470.45,559.37,-7351.77,579.942,843.147,1.40333,0.991314,873050,-469668,1.11743e+06,-7.12808e+06,7386.58,-470.45,-559.37,-736430,1.0277e+06,-7.119e+06,7351.77,-579.942,-843.147,-5.23754e+10,-1.26515e+11,-5.48524e+10,35710,-10064.7,-4718.76,-5.6179e+10,-1.26507e+11,-5.09703e+10,35358.6,-10619.7,-5979.8,0.000452344,-0.000502181,0.00284912,
121,0.000227217,-0.000658093,0.000227499,0.00692702,-0.0199035,0.00683019,0.999755,1.81296e-07,-5.44123e-07,1.93046e-07,7.32441e-05,465974,-1.1172e+06,7.12835e+06,-7386.82,471.036,555.621,-7351.81,581.41,841.751,1.40356,0.98854,873051,-465974,1.1172e+06,-7.12835e+06,7386.82,-471.036,-555.621,-734975,1.02668e+06,-7.1193e+06,7351.81,-581.41,-841.751,-5.23754e+10,-1.26515e+11,-5.48524e+10,35710.3,-10065.3,-4715.01,-5.62101e+10,-1.26506e+11,-5.09375e+10,35355.9,-10624.9,-5986.46,0.00187284,-0.00271672,0.0052484,
121.5,0.000228123,-0.000660814,0.000228464,0.00698391,-0.0200683,0.00688716,0.99975,1.81203e-07,-5.44125e-07,1.93095e-07,7.35466e-05,462281,-1.11696e+06,7.12863e+06,-7387.06,471.622,551.871,-7351.85,582.883,840.364,1.40379,0.985759,873052,-462281,1.11696e+06,-7.12863e+06,7387.06,-471.622,-551.871,-733530,1.02567e+06,-7.11959e+06,7351.85,-582.883,-840.364,-5.23754e+10,-1.26515e+11,-5.48524e+10,35710.5,-10065.9,-4711.26,-5.62413e+10,-1.26505e+11,-5.09046e+10,35353.1,-10630.2,-5993.17,0.000953401,-0.00126577,0.00160827,
122,0.000229029,-0.000663534,0.000229429,0.00704103,-0.0202338,0.00694438,0.999746,1.81109e-07,-5.44128e-07,1.93145e-07,7.38492e-05,458587,-1.11673e+06,7.12891e+06,-7387.31,472.208,548.121,-7351.89,584.358,838.986,1.40402,0.98297,873054,-458587,1.11673e+06,-7.12891e+06,7387.31,-472.208,-548.121,-732094,1.02464e+06,-7.11989e+06,7351.89,-584.358,-838.986,-5.23753e+10,-1.26515e+11,-5.48524e+10,35710.7,-10066.5,-4707.51,-5.62726e+10,-1.26505e+11,-5.08715e+10,35350.2,-10635.5,-5999.91,0.00108328,-0.00165973,0.00215656,
122.5,0.000229934,-0.000666255,0.000230395,0.00709838,-0.0204,0.00700183,0.999742,1.81015e-07,-5.44131e-07,1.93194e-07,7.41517e-05,454893,-1.11649e+06,7.12918e+06,-7387.55,472.794,544.371,-7351.93,585.836,837.618,1.40424,0.980174,873055,-454893,1.11649e+06,-7.12918e+06,7387.55,-472.794,-544.371,-730667,1.02362e+06,-7.12018e+06,7351.93,-585.836,-837.618,-5.23753e+10,-1.26515e+11,-5.48524e+10,35711,-10067,-4703.76,-5.6304e+10,-1.26504e+11,-5.08383e+10,35347.4,-10640.7,-6006.69,0.00263131,-0.00185707,0.00217516,
123,0.000230839,-0.000668976,0.000231361,0.00715595,-0.0205669,0.00705953,0.999738,1.8092e-07,-5.44133e-07,1.93243e-07,7.44542e-05,451200,-1.11625e+06,7.12945e+06,-7387.78,473.38,540.621,-7351.97,587.318,836.259,1.40447,0.97737,873056,-451200,1.11625e+06,-7.12945e+06,7387.78,-473.38,-540.621,-729250,1.02259e+06,-7.12048e+06,7351.97,-587.318,-836.259,-5.23753e+10,-1.26515e+11,-5.48524e+10,35711.2,-10067.6,-4700.01,-5.63356e+10,-1.26504e+11,-5.08049e+10,35344.6,-10646.1,-6013.52,0.00301462,-7.3194e-05,0.00202486,
123.5,0.000231744,-0.000671696,0.000232328,0.00721375,-0.0207344,0.00711746,0.999734,1.80824e-07,-5.44136e-07,1.93292e-07,7.47568e-05,447506,-1.11602e+06,7.12972e+06,-7388.02,473.965,536.871,-7352,588.803,834.909,1.40469,0.974559,873057,-447506,1.11602e+06,-7.12972e+06,7388.02,-473.965,-536.871,-727842,1.02156e+06,-7.12077e+06,7352,-588.803,-834.909,-5.23753e+10,-1.26515e+11,-5.48524e+10,35711.5,-10068.2,-4696.25,-5.63672e+10,-1.26503e+11,-5.07714e+10,35341.7,-10651.4,-6020.39,-0.0011181,-0.000254933,0.00284578,
